# 現在完了（50問）
私はこのプロジェクトを完了しました,I have completed this project,現在完了
彼女は3回この会議に出席しています,She has attended this meeting three times,現在完了
私たちはすでに報告書を提出しました,We have already submitted the report,現在完了
彼はまだ返信していません,He has not replied yet,現在完了
私はこの会社で5年間働いています,I have worked for this company for five years,現在完了
彼らは今朝から議論しています,They have been discussing since this morning,現在完了
彼女は最近忙しくしています,She has been busy recently,現在完了
私たちはちょうど会議を終えたところです,We have just finished the meeting,現在完了
彼は2015年からこのプロジェクトに携わっています,He has been involved in this project since 2015,現在完了
私はまだ昼食を食べていません,I have not had lunch yet,現在完了
彼女は何度もこの問題を説明しました,She has explained this problem many times,現在完了
私たちはすべての資料を確認しました,We have reviewed all the materials,現在完了
彼はこれまでに多くの成果を上げました,He has achieved many results so far,現在完了
私は今まで海外で働いたことがありません,I have never worked abroad before,現在完了
彼らは既に決定を下しました,They have already made a decision,現在完了
彼女は長年この分野で経験を積んでいます,She has been gaining experience in this field for many years,現在完了
私たちは最近新しいシステムを導入しました,We have recently introduced a new system,現在完了
彼はいくつかの提案を出しました,He has made several suggestions,現在完了
私はこれまでに多くのことを学びました,I have learned many things so far,現在完了
彼女はまだプレゼンを準備していません,She has not prepared the presentation yet,現在完了
私たちは今週たくさん働いています,We have worked a lot this week,現在完了
彼は以前にこの問題に遭遇したことがあります,He has encountered this problem before,現在完了
私はずっとこの結果を待っていました,I have been waiting for this result,現在完了
彼らは大きな進歩を遂げました,They have made great progress,現在完了
彼女は何年もこの役職にいます,She has been in this position for many years,現在完了
私たちはすでにこの件について話し合いました,We have already discussed this matter,現在完了
彼は今までにない成功を収めました,He has achieved unprecedented success,現在完了
私はこれまでこんな経験をしたことがありません,I have never had such an experience before,現在完了
彼女は最近多くの変化を見てきました,She has seen many changes recently,現在完了
私たちは長い間この方法を使っています,We have been using this method for a long time,現在完了
彼はちょうど重要な発見をしました,He has just made an important discovery,現在完了
私はまだその書類を受け取っていません,I have not received the document yet,現在完了
彼らは何度もこのプロセスを改善してきました,They have improved this process many times,現在完了
彼女は今までで最高の結果を出しました,She has produced the best results ever,現在完了
私たちは既にすべての準備を終えました,We have already finished all the preparations,現在完了
彼は長年にわたって技術を磨いてきました,He has refined his skills over many years,現在完了
私はこれまでこの問題について考えてきました,I have been thinking about this problem,現在完了
彼女は最近いくつかの賞を受賞しました,She has won several awards recently,現在完了
私たちはこの分野で多くの経験を積んできました,We have gained much experience in this field,現在完了
彼はまだ最終決定をしていません,He has not made a final decision yet,現在完了
私は今日3つの会議に出席しました,I have attended three meetings today,現在完了
彼らは大幅な改善を実現しました,They have achieved significant improvements,現在完了
彼女は長い間この問題に取り組んできました,She has been working on this problem for a long time,現在完了
私たちはすでに次の段階に進んでいます,We have already moved to the next stage,現在完了
彼は最近素晴らしいアイデアを思いつきました,He has come up with great ideas recently,現在完了
私はこれまでに多くの困難を乗り越えてきました,I have overcome many difficulties so far,現在完了
彼女は何年も前からこの計画を立てています,She has been planning this for many years,現在完了
私たちは今までにない課題に直面しています,We have faced unprecedented challenges,現在完了
彼はこれまでに数多くのプロジェクトを成功させました,He has succeeded in numerous projects so far,現在完了
私は最近多くの新しいことを学んでいます,I have been learning many new things recently,現在完了

# 助動詞（50問）
私は明日早く来ることができます,I can come early tomorrow,助動詞
彼女はフランス語を話すことができます,She can speak French,助動詞
私たちはこの問題を解決できます,We can solve this problem,助動詞
彼はもっと努力すべきです,He should try harder,助動詞
私は今すぐ行かなければなりません,I must go now,助動詞
彼らは会議に出席するかもしれません,They may attend the meeting,助動詞
彼女は手伝ってくれるでしょう,She will help us,助動詞
私たちは新しい戦略を試すべきです,We should try a new strategy,助動詞
彼は締め切りを守れるでしょう,He will be able to meet the deadline,助動詞
私はこの作業を完了できます,I can complete this task,助動詞
彼女は正しいかもしれません,She may be right,助動詞
私たちは慎重に検討すべきです,We should consider carefully,助動詞
彼は遅れるかもしれません,He might be late,助動詞
私は許可を得なければなりません,I must get permission,助動詞
彼らは同意するでしょう,They will agree,助動詞
彼女はもっと練習する必要があります,She needs to practice more,助動詞
私たちは早めに出発すべきです,We should leave early,助動詞
彼はその仕事ができます,He can do that job,助動詞
私は会議に参加できるかもしれません,I may be able to attend the meeting,助動詞
彼女は専門家に相談すべきです,She should consult an expert,助動詞
私たちは計画を変更する必要があります,We need to change the plan,助動詞
彼は来週までに完了できるでしょう,He will be able to finish by next week,助動詞
私はもっと情報が必要です,I need more information,助動詞
彼らは新しい方法を試すべきです,They should try a new method,助動詞
彼女は承認を得られるかもしれません,She may get approval,助動詞
私たちは注意深く進めるべきです,We should proceed carefully,助動詞
彼は英語でプレゼンができます,He can present in English,助動詞
私は今日中に返信しなければなりません,I must reply by today,助動詞
彼女はそれを知っているでしょう,She will know that,助動詞
私たちは別の選択肢を考えるべきです,We should consider other options,助動詞
彼は状況を改善できます,He can improve the situation,助動詞
私はより多くの時間が必要です,I need more time,助動詞
彼らは成功するかもしれません,They might succeed,助動詞
彼女はすぐに対応できます,She can respond immediately,助動詞
私たちは品質を優先すべきです,We should prioritize quality,助動詞
彼は予算内で完了できるでしょう,He will be able to complete within budget,助動詞
私はこの機会を活用すべきです,I should take advantage of this opportunity,助動詞
彼女は結果を予測できます,She can predict the results,助動詞
私たちは柔軟に対応する必要があります,We need to be flexible,助動詞
彼はリスクを理解しているでしょう,He will understand the risks,助動詞
私はチームをサポートできます,I can support the team,助動詞
彼らはより良い解決策を見つけるかもしれません,They may find a better solution,助動詞
彼女は詳細を確認すべきです,She should check the details,助動詞
私たちは早急に行動する必要があります,We need to act quickly,助動詞
彼は複数の言語を話すことができます,He can speak multiple languages,助動詞
私は目標を達成できるでしょう,I will be able to achieve the goal,助動詞
彼女はより慎重になるべきです,She should be more careful,助動詞
私たちは協力する必要があります,We need to cooperate,助動詞
彼は問題を特定できます,He can identify the problem,助動詞
私はこの提案を支持すべきです,I should support this proposal,助動詞

# 受動態（50問）
この報告書は昨日提出されました,This report was submitted yesterday,受動態
新しいシステムが来月導入されます,A new system will be introduced next month,受動態
